"route_id","datetime","zone_id","driver_id","latitude","longitude"
1480046,"2021-12-14 01:27:55",14332,1403684,1.291541548231824,103.78458717679567
1480046,"2021-12-14 01:27:55",14332,1403684,1.2917222258127907,103.7844196769793
1480046,"2021-12-14 01:27:55",14332,1403684,1.2917090055024338,103.78398329587871
1480046,"2021-12-14 01:27:55",14332,1403684,1.291497480527208,103.78527039973093
1480046,"2021-12-14 01:27:55",14332,1403684,1.2909157867421215,103.78130770640347
1480046,"2021-12-14 01:27:55",14332,1403684,1.2999860939119618,103.7865136939161
1480046,"2021-12-14 01:27:55",14332,1403684,1.2991775566404884,103.78636068806063
1480046,"2021-12-14 01:27:55",14332,1403684,1.300461382592611,103.78562844575224
1480046,"2021-12-14 01:27:55",14332,1403684,1.3007345369822676,103.78580877407263
1480046,"2021-12-14 01:27:55",14332,1403684,1.3015266845070694,103.78630057864795
1480046,"2021-12-14 01:27:55",14332,1403684,1.300740000081583,103.78657380341717
1480046,"2021-12-14 01:27:55",14332,1403684,1.3056388729425428,103.78228521184514
1480046,"2021-12-14 01:27:55",14332,1403684,1.3054145457349826,103.7814097926075
1480046,"2021-12-14 01:27:55",14332,1403684,1.306213908791627,103.78258860623794
1480046,"2021-12-14 01:27:55",14332,1403684,1.3053861098903345,103.7823484190103
1480046,"2021-12-14 01:27:55",14332,1403684,1.3060875272976145,103.78244955047457
1480046,"2021-12-14 01:27:55",14332,1403684,1.306071729610408,103.78325228147224
1480046,"2021-12-14 01:27:55",14332,1403684,1.3054082266584182,103.7830342167524
1480046,"2021-12-14 01:27:55",14332,1403684,1.3047289258357164,103.78185540312197
1480046,"2021-12-14 01:27:55",14332,1403684,1.3076857476438812,103.78281564645445
1480046,"2021-12-14 01:27:55",14332,1403684,1.306327905077355,103.7833393951705
1480046,"2021-12-14 01:27:55",14332,1403684,1.3075969997861492,103.78281564645445
1480046,"2021-12-14 01:27:55",14332,1403684,1.3055912973649078,103.78137755675962
1480046,"2021-12-14 01:27:55",14332,1403684,1.3366707852283102,103.76712470009991
1480046,"2021-12-14 01:27:55",14332,1403684,1.3356065664433263,103.7689281021229
1480046,"2021-12-14 01:27:55",14332,1403684,1.335700468119369,103.76951045069283
1480046,"2021-12-14 01:27:55",14332,1403684,1.3358194102372174,103.7673751726031
1480046,"2021-12-14 01:27:55",14332,1403684,1.334955514724119,103.76800761567365
1480046,"2021-12-14 01:27:55",14332,1403684,1.3364203808497928,103.76719358003828
1480046,"2021-12-14 01:27:55",14332,1403684,1.3372592354172985,103.7683081826775
1480046,"2021-12-14 01:27:55",14332,1403684,1.3353624220688423,103.76698694022313
1480046,"2021-12-14 01:27:55",14332,1403684,1.3362043071086436,103.76963157428257
1480046,"2021-12-14 01:27:55",14332,1403684,1.3377021229780328,103.76934435006682
1480046,"2021-12-14 01:27:55",14332,1403684,1.3378030120970061,103.76868451065222
1480046,"2021-12-14 01:27:55",14332,1403684,1.3369803776213778,103.76573464032819
1480046,"2021-12-14 01:27:55",14332,1403684,1.3374537805136766,103.765998576094
1480046,"2021-12-14 01:27:55",14332,1403684,1.3378883798098182,103.76584331976117
1480046,"2021-12-14 01:27:55",14332,1403684,1.3351022865593278,103.76628580030977
1480046,"2021-12-14 01:27:55",14332,1403684,1.337810772798299,103.76961604864931
1480046,"2021-12-14 01:27:55",14332,1403684,1.3353739113884961,103.77099006719497
1480046,"2021-12-14 01:27:55",14332,1403684,1.3648236649585077,103.76473730805364
1480046,"2021-12-14 01:27:55",14332,1403684,1.3647958811795904,103.76393829780037
1480046,"2021-12-14 01:27:55",14332,1403684,1.3642471514801926,103.76333382917396
1480046,"2021-12-14 01:27:55",14332,1403684,1.3632330430987825,103.764577506003
1480046,"2021-12-14 01:27:55",14332,1403684,1.3620591773842199,103.76434127688462
1480046,"2021-12-14 01:27:55",14332,1403684,1.3636428540714896,103.7636603811905
1480046,"2021-12-14 01:27:55",14332,1403684,1.3631913674027423,103.76580728700154
1480046,"2021-12-14 01:27:55",14332,1403684,1.3626704211412932,103.76511249547693
1480046,"2021-12-14 01:27:55",14332,1403684,1.362281447859277,103.76591845364545
1480046,"2021-12-14 01:27:55",14332,1403684,1.3646708541704875,103.76552242247644
